,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
1206,1207,2000,Central,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.098612289,0,3,1,0.3333333333333333,2,0.6666666666666666
1207,1208,2000,Central,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,0,3,0,0.0,0,0.0
1208,1209,2000,Central,0,0,1,0,1,0,1,2,0,0,1,1,0,0,1.945910149,0,7,0,0.0,1,0.14285714285714285
1209,1210,2000,Central,1,0,0,0,1,0,1,0,1,2,1,1,0,0,2.079441542,0,8,1,0.125,1,0.125
1210,1211,2000,Central,0,0,0,0,1,1,2,0,3,0,0,1,1,0,2.197224577,0,9,0,0.0,0,0.0
1211,1212,2000,Central,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1.609437912,0,5,0,0.0,0,0.0
1212,1213,2000,Central,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
1213,1214,2000,Central,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806,0,2,0,0.0,0,0.0
1214,1215,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1215,1216,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1216,1217,2000,Central,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1217,1218,2000,Central,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
1218,1219,2000,Central,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1.609437912,0,5,2,0.4,3,0.6
1219,1220,2000,Central,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289,0,3,0,0.0,0,0.0
1220,1221,2000,Central,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912,0,5,1,0.2,2,0.4
1221,1222,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289,0,3,0,0.0,0,0.0
1222,1223,2000,Central,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912,0,5,1,0.2,3,0.6
1223,1224,2000,Central,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1.386294361,0,4,0,0.0,0,0.0
1224,1225,2000,Central,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
1225,1226,2000,Central,0,0,2,1,0,1,0,2,0,0,0,1,0,0,1.945910149,0,7,0,0.0,3,0.42857142857142855
1226,1227,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
1227,1228,2000,Central,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,0,2,0,0.0,0,0.0
1228,1229,2000,Central,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806,0,2,0,0.0,0,0.0
1229,1230,2000,Central,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1.791759469,0,6,1,0.16666666666666666,2,0.3333333333333333
1230,1231,2000,Central,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1.386294361,0,4,0,0.0,0,0.0
1231,1232,2000,Central,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1.609437912,0,5,1,0.2,2,0.4
1232,1233,2000,Central,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471806,0,2,0,0.0,1,0.5
1233,1234,2000,Central,0,0,0,1,0,0,0,0,0,2,0,1,1,1,1.791759469,0,6,0,0.0,1,0.16666666666666666
1234,1235,2000,Central,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1.386294361,0,4,0,0.0,0,0.0
1235,1236,2000,Central,1,2,1,1,0,0,0,0,1,1,0,0,0,0,1.945910149,0,7,3,0.42857142857142855,5,0.7142857142857143
1236,1237,2000,Central,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0.0,0,0.0
1237,1238,2000,Central,0,0,1,0,1,0,2,0,1,0,0,1,0,0,1.791759469,0,6,0,0.0,1,0.16666666666666666
1238,1239,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0.0,0,0.0
1239,1240,2000,Central,0,1,1,1,0,1,2,0,1,0,1,1,0,0,2.197224577,0,9,1,0.1111111111111111,3,0.3333333333333333
1240,1241,2000,Central,0,1,2,1,0,2,1,1,0,0,0,1,0,0,2.197224577,0,9,1,0.1111111111111111,4,0.4444444444444444
1241,1242,2000,Central,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1.791759469,0,6,1,0.16666666666666666,1,0.16666666666666666
1242,1243,2000,Central,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1.098612289,0,3,0,0.0,0,0.0
1243,1244,2000,Central,0,0,0,0,1,0,0,1,0,2,0,1,1,1,1.945910149,0,7,0,0.0,0,0.0
1244,1245,2000,Central,0,2,0,0,1,0,0,2,1,1,1,1,0,0,2.197224577,0,9,2,0.2222222222222222,2,0.2222222222222222
1326,1327,2000,Central,0,0,2,0,2,0,0,0,0,1,1,0,0,0,1.791759469,0,6,0,0.0,2,0.3333333333333333
1327,1328,2000,Central,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,0,2,0,0.0,0,0.0
1328,1329,2000,Central,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1.609437912,0,5,0,0.0,0,0.0
1329,1330,2000,Central,1,2,2,0,0,0,0,0,2,2,0,0,0,1,2.302585093,0,10,3,0.3,5,0.5
1330,1331,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289,0,3,0,0.0,0,0.0
1331,1332,2000,Central,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361,0,4,0,0.0,0,0.0
1332,1333,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0.0,0,0.0
1333,1334,2000,Central,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1.945910149,0,7,0,0.0,1,0.14285714285714285
1334,1335,2000,Central,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1.791759469,0,6,0,0.0,1,0.16666666666666666
1335,1336,2000,Central,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361,0,4,1,0.25,2,0.5
1336,1337,2000,Central,0,0,1,0,0,2,0,2,0,1,0,1,0,1,2.079441542,0,8,0,0.0,1,0.125
1337,1338,2000,Central,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1.386294361,0,4,1,0.25,1,0.25
1338,1339,2000,Central,0,0,1,0,1,1,1,0,0,0,0,1,2,0,1.945910149,0,7,0,0.0,1,0.14285714285714285
1339,1340,2000,Central,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,2,0.6666666666666666
