,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
1073,1074,2000,Central,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1.791759469,1,6,0,0.0,2,0.3333333333333333
1074,1075,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
1075,1076,2000,Central,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,1,3,0,0.0,0,0.0
1076,1077,2000,Central,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1.791759469,1,6,2,0.3333333333333333,2,0.3333333333333333
1077,1078,2000,Central,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1.386294361,1,4,1,0.25,1,0.25
1078,1079,2000,Central,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361,1,4,0,0.0,0,0.0
1079,1080,2000,Central,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,1,0.25,2,0.5
1080,1081,2000,Central,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361,1,4,1,0.25,2,0.5
1081,1082,2000,Central,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,2,0.5,2,0.5
1082,1083,2000,Central,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
1083,1084,2000,Central,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,2,0.5,2,0.5
1084,1085,2000,Central,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1.609437912,1,5,1,0.2,2,0.4
1085,1086,2000,Central,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.6931471806,1,2,0,0.0,0,0.0
1086,1087,2000,Central,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1,5,2,0.4,3,0.6
1087,1088,2000,Central,0,0,1,0,2,1,0,1,0,1,0,1,1,0,2.079441542,1,8,0,0.0,1,0.125
1088,1089,2000,Central,0,0,0,1,0,2,0,0,0,0,1,1,0,0,1.609437912,1,5,0,0.0,1,0.2
1089,1090,2000,Central,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,1,0.25,2,0.5
1090,1091,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
1091,1092,2000,Central,1,0,0,0,0,0,0,2,1,0,1,1,0,0,1.791759469,1,6,1,0.16666666666666666,1,0.16666666666666666
1092,1093,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
1093,1094,2000,Central,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361,1,4,0,0.0,0,0.0
1094,1095,2000,Central,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1.609437912,1,5,1,0.2,1,0.2
1095,1096,2000,Central,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,2,0.5,2,0.5
1096,1097,2000,Central,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.386294361,1,4,0,0.0,0,0.0
1097,1098,2000,Central,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1.609437912,1,5,1,0.2,1,0.2
1098,1099,2000,Central,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1.609437912,1,5,1,0.2,1,0.2
1099,1100,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
1100,1101,2000,Central,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361,1,4,1,0.25,2,0.5
1101,1102,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,0,0.0,0,0.0
